map,family,C,fold,scaling,reps,topology,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp
pauli_xz_xxzz_linear_r1_robust,PauliFeatureMap,10.0,4,robust_atan,1,linear,0.5,0.5,0.5,0.625,0.375,0.5555555555555556,0.0,3,5,3,5
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,0.1,0,minmax,1,ring,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4,4,4,4
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,0.1,1,minmax,1,ring,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4,4,4,4
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,0.1,2,minmax,1,ring,0.4375,0.4375,0.45454545454545453,0.625,0.25,0.5263157894736842,-0.13483997249264842,2,6,3,5
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,0.1,3,minmax,1,ring,0.8125,0.8125,0.8571428571428571,0.75,0.875,0.8,0.629940788348712,7,1,2,6
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,0.1,4,minmax,1,ring,0.4375,0.4375,0.0,0.0,0.875,0.0,-0.2581988897471611,7,1,8,0
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,1.0,0,minmax,1,ring,0.4375,0.4375,0.42857142857142855,0.375,0.5,0.4,-0.1259881576697424,4,4,5,3
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,1.0,1,minmax,1,ring,0.5625,0.5625,0.5555555555555556,0.625,0.5,0.5882352941176471,0.1259881576697424,4,4,3,5
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,1.0,2,minmax,1,ring,0.375,0.375,0.4166666666666667,0.625,0.125,0.5,-0.2886751345948129,1,7,3,5
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,1.0,3,minmax,1,ring,0.8125,0.8125,0.7777777777777778,0.875,0.75,0.8235294117647058,0.629940788348712,6,2,1,7
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,1.0,4,minmax,1,ring,0.375,0.375,0.25,0.125,0.625,0.16666666666666666,-0.2886751345948129,5,3,7,1
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,10.0,0,minmax,1,ring,0.375,0.375,0.3333333333333333,0.25,0.5,0.2857142857142857,-0.2581988897471611,4,4,6,2
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,10.0,1,minmax,1,ring,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4,4,4,4
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,10.0,2,minmax,1,ring,0.4375,0.4375,0.46153846153846156,0.75,0.125,0.5714285714285714,-0.16012815380508713,1,7,2,6
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,10.0,3,minmax,1,ring,0.5625,0.5625,0.6,0.375,0.75,0.46153846153846156,0.13483997249264842,6,2,5,3
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,10.0,4,minmax,1,ring,0.375,0.375,0.375,0.375,0.375,0.375,-0.25,3,5,5,3
custom_water_domain_r1_robust,custom_water_domain,0.1,0,robust_atan,1,domain,0.5,0.5,0.5,0.375,0.625,0.42857142857142855,0.0,5,3,5,3
custom_water_domain_r1_robust,custom_water_domain,0.1,1,robust_atan,1,domain,0.4375,0.4375,0.42857142857142855,0.375,0.5,0.4,-0.1259881576697424,4,4,5,3
custom_water_domain_r1_robust,custom_water_domain,0.1,2,robust_atan,1,domain,0.4375,0.4375,0.4444444444444444,0.5,0.375,0.47058823529411764,-0.1259881576697424,3,5,4,4
custom_water_domain_r1_robust,custom_water_domain,0.1,3,robust_atan,1,domain,0.75,0.75,0.6666666666666666,1.0,0.5,0.8,0.5773502691896258,4,4,0,8
custom_water_domain_r1_robust,custom_water_domain,0.1,4,robust_atan,1,domain,0.5,0.5,0.5,0.25,0.75,0.3333333333333333,0.0,6,2,6,2
custom_water_domain_r1_robust,custom_water_domain,1.0,0,robust_atan,1,domain,0.5625,0.5625,0.6,0.375,0.75,0.46153846153846156,0.13483997249264842,6,2,5,3
custom_water_domain_r1_robust,custom_water_domain,1.0,1,robust_atan,1,domain,0.4375,0.4375,0.4444444444444444,0.5,0.375,0.47058823529411764,-0.1259881576697424,3,5,4,4
custom_water_domain_r1_robust,custom_water_domain,1.0,2,robust_atan,1,domain,0.5,0.5,0.5,0.75,0.25,0.6,0.0,2,6,2,6
custom_water_domain_r1_robust,custom_water_domain,1.0,3,robust_atan,1,domain,0.6875,0.6875,0.6363636363636364,0.875,0.5,0.7368421052631579,0.40451991747794525,4,4,1,7
custom_water_domain_r1_robust,custom_water_domain,1.0,4,robust_atan,1,domain,0.625,0.625,0.6666666666666666,0.5,0.75,0.5714285714285714,0.2581988897471611,6,2,4,4
custom_water_domain_r1_robust,custom_water_domain,10.0,0,robust_atan,1,domain,0.5625,0.5625,0.5714285714285714,0.5,0.625,0.5333333333333333,0.1259881576697424,5,3,4,4
custom_water_domain_r1_robust,custom_water_domain,10.0,1,robust_atan,1,domain,0.5625,0.5625,0.5714285714285714,0.5,0.625,0.5333333333333333,0.1259881576697424,5,3,4,4
custom_water_domain_r1_robust,custom_water_domain,10.0,2,robust_atan,1,domain,0.4375,0.4375,0.4444444444444444,0.5,0.375,0.47058823529411764,-0.1259881576697424,3,5,4,4
custom_water_domain_r1_robust,custom_water_domain,10.0,3,robust_atan,1,domain,0.8125,0.8125,0.8571428571428571,0.75,0.875,0.8,0.629940788348712,7,1,2,6
custom_water_domain_r1_robust,custom_water_domain,10.0,4,robust_atan,1,domain,0.75,0.75,0.7,0.875,0.625,0.7777777777777778,0.5163977794943222,5,3,1,7
custom_water_domain_r2_reupload_robust,custom_water_domain,0.1,0,robust_atan,2,domain,0.4375,0.4375,0.4,0.25,0.625,0.3076923076923077,-0.13483997249264842,5,3,6,2
custom_water_domain_r2_reupload_robust,custom_water_domain,0.1,1,robust_atan,2,domain,0.4375,0.4375,0.4444444444444444,0.5,0.375,0.47058823529411764,-0.1259881576697424,3,5,4,4
custom_water_domain_r2_reupload_robust,custom_water_domain,0.1,2,robust_atan,2,domain,0.625,0.625,0.625,0.625,0.625,0.625,0.25,5,3,3,5
custom_water_domain_r2_reupload_robust,custom_water_domain,0.1,3,robust_atan,2,domain,0.6875,0.6875,0.6153846153846154,1.0,0.375,0.7619047619047619,0.48038446141526137,3,5,0,8
custom_water_domain_r2_reupload_robust,custom_water_domain,0.1,4,robust_atan,2,domain,0.625,0.625,0.6666666666666666,0.5,0.75,0.5714285714285714,0.2581988897471611,6,2,4,4
custom_water_domain_r2_reupload_robust,custom_water_domain,1.0,0,robust_atan,2,domain,0.5,0.5,0.5,0.375,0.625,0.42857142857142855,0.0,5,3,5,3
custom_water_domain_r2_reupload_robust,custom_water_domain,1.0,1,robust_atan,2,domain,0.5,0.5,0.5,0.625,0.375,0.5555555555555556,0.0,3,5,3,5
custom_water_domain_r2_reupload_robust,custom_water_domain,1.0,2,robust_atan,2,domain,0.625,0.625,0.6,0.75,0.5,0.6666666666666666,0.2581988897471611,4,4,2,6
custom_water_domain_r2_reupload_robust,custom_water_domain,1.0,3,robust_atan,2,domain,0.8125,0.8125,0.7777777777777778,0.875,0.75,0.8235294117647058,0.629940788348712,6,2,1,7
custom_water_domain_r2_reupload_robust,custom_water_domain,1.0,4,robust_atan,2,domain,0.5625,0.5625,0.5714285714285714,0.5,0.625,0.5333333333333333,0.1259881576697424,5,3,4,4
custom_water_domain_r2_reupload_robust,custom_water_domain,10.0,0,robust_atan,2,domain,0.5,0.5,0.5,0.25,0.75,0.3333333333333333,0.0,6,2,6,2
custom_water_domain_r2_reupload_robust,custom_water_domain,10.0,1,robust_atan,2,domain,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4,4,4,4
custom_water_domain_r2_reupload_robust,custom_water_domain,10.0,2,robust_atan,2,domain,0.75,0.75,0.6666666666666666,1.0,0.5,0.8,0.5773502691896258,4,4,0,8
custom_water_domain_r2_reupload_robust,custom_water_domain,10.0,3,robust_atan,2,domain,0.875,0.875,1.0,0.75,1.0,0.8571428571428571,0.7745966692414834,8,0,2,6
custom_water_domain_r2_reupload_robust,custom_water_domain,10.0,4,robust_atan,2,domain,0.5,0.5,0.5,0.375,0.625,0.42857142857142855,0.0,5,3,5,3
